=== LE-COORDINATEUR — synthèse gratuite du réseau d'outils ===

| Outil | Résultat | Dernier passage |
|---|---|---|
| check-house.mjs (suite de tests) | ok | 2026-09-23T21:25:46.766Z |
| AXA-CHECK (couverture réelle par fonction) | 100% | 2026-09-23T21:25:46.766Z |
| ARGUS (mécanique) | ok (6 déjà tranché(s) avec vous, jamais reposé(s)) | 2026-09-23T21:25:46.766Z |
| HARMONIA (mécanique) | ok | 2026-09-23T21:25:46.766Z |
| ALWAYS-NEW-CODE (préparation) | zone recommandée : Cycle jour/nuit | 2026-09-23T21:25:46.766Z |
| CLEAN-DIRTY-OLD (repérage seul) | ok | 2026-09-23T21:25:46.766Z |
| Smart Conso API (salves jamais confirmées) | ok | 2026-09-23T21:25:46.766Z |
| SMART-CONSO-TOKEN (rythme 7 derniers jours) | 20 action(s) — {"scan":4,"charter_size_tax":3,"agent_subagent_spawn":2,"full_repo_scope":5,"proposition_appliquee":1,"assess":4,"long_task_signal":1} | 2026-09-23T21:25:46.766Z |
| SMART-CONSO-TOKEN (spawns THE-FINAL-JUDGE sans consultation confirmée) | ok | 2026-09-23T21:25:46.766Z |
| SMART-CONSO-TOKEN (spawns THE-DEEP-READER sans consultation confirmée) | ok | 2026-09-23T21:25:46.766Z |
| SMART-CONSO-TOKEN (passages HYPER-SCAN-CHECKPOINT complets sans consultation confirmée) | ok | 2026-09-23T21:25:46.766Z |
| AXA-CHECK (Agents absents d'AGENT_SCRIPT_FILES) | ok | 2026-09-23T21:25:46.766Z |
| ecotoken (poids de la charte) | ok (21593 tk, marge 28 %) | 2026-09-23T21:25:46.766Z |
| Doc-Report (rapports orphelins jamais indexés) | ok | 2026-09-23T21:25:46.766Z |

Ceci reste un tableau de synthèse, jamais un verdict : relire la sortie complète de l'outil concerné avant d'agir sur une ligne "à regarder" (cf. docs/regles-de-travail.md, aucun de ces outils n'est autonome).
Jamais déclenché ici : HYPER-SCAN-CHECKPOINT (version complète), Smart Conso API, ou une simulation — toujours une décision explicite séparée, jamais une initiative du coordinateur.

=== Menu des prestations disponibles via le réseau d'outils ===

| Si tu veux... | Ça déclenche | Coût |
|---|---|---|
| Exportabilité de l'Agence, reprise par une autre IA (Article 27) | SAFE-EXPORT | 0 appel API — couche légère mécanique |
| Analyser un document de règles autre que la charte | ABRAHAM-LES-REFERENCES | 0 appel API |
| Analyser la charte du projet en profondeur, ou préparer une décision qui la touche | MOÏSE-TABLES-DE-LOI | 0 appel API |
| Est-ce que tout est à niveau ? (standards, formats, gabarits) | THE-EQUALIZER | 0 appel API |
| Apprentissage réel de l'outillage, et mon apport à cet apprentissage | TOOL-LEARNING | 0 appel API |
| Intégrer un nouvel outil sans découvrir les oublis un test après l'autre | integration-outil | 0 appel API |
| Fidélité de l'esprit des personnages (Article 0) | EL-PROFESSOR | 0 appel API — relit un texte déjà produit |
| Diagnostic direct du ton face à une provocation réelle | check-spirit.mjs | réel — 16 vrais appels Gemini, consulter Smart Conso API avant |
| Qualité visuelle du rendu | THE-SCREENER | 0 appel API — capture Playwright locale |
| Robustesse et couverture de test réelle | AXA-CHECK | 0 appel API |
| Chasse aux bugs cachés avant une étape importante | HYPER-SCAN-CHECKPOINT | version légère : 0 appel API ; version complète : appels Gemini réels — consulter Smart Conso API avant |
| Audit global indépendant (code + produit + reprise potentielle) | THE-FINAL-JUDGE | 0 appel API — agent séparé, jamais de Gemini |
| Sécurité et préparation à la mise en production | THE-FINAL-JUDGE (mandat sécurité inclus) | 0 appel API — agent séparé, jamais de Gemini |
